Order_ID,Customer_ID,Product_ID,Order_Date,Delivery_Date,Region,Country,Store_Name,Customer_Name,Email,Phone,Gender,Age,City,State,Account_Status,Product_Name,Category,Sub_Category,Brand,Supplier_Name,Discount,Price,Quantity,Payment_Mode,Payment_Status,Shipping_Cost,Total_Amount,Return_Status,Profit,Feedback_Score,Sales_Agent,Loyalty_Level,Coupon_Code,Remarks
ORD1000,CUST8471,PROD7862,2023-06-09,2022-10-04,West,USA,Flipkart,Amit,,12345,F,61.0,London,California,Closed,TV,Electronics,Mobiles,Apple,XYZ Corp,40.0,52766.0,14.0,Cahs,,755.0,199323.0,Pending,22394.0,3,,VIP,SAVE10,Late
ORD1001,CUST5056,PROD7934,2022-04-14,2022-08-02,,Australia,Amazon,,amit@yahoo.com,12345,Other,116.0,New York,New York,Closed,Laptop,Fashion,,LG,Global Suppliers,68.0,82505.0,25.0,,,389.0,137570.0,Not Returned,49832.0,0,Rahul,Gold,,
ORD1002,CUST9913,PROD4741,2023-03-14,2022-11-07,East,,Amazon,Mary,,,Other,101.0,,Tamil Nadu,Actve,Laptop,Electronics,Kitchen,Nike,XYZ Corp,63.0,51038.0,33.0,,Pending,819.0,79382.0,Not Returned,43951.0,5,,Silver,SAVE10,Late
ORD1003,CUST3074,PROD4564,2022-03-27,2023-02-07,,Australia,Amazon,Fatima,,,F,20.0,Delhi,Maharashtra,Actve,Shoes,Fashion,Mobiles,Samsung,Global Suppliers,91.0,98773.0,5.0,Online,Pending,517.0,14941.0,,24708.0,2,Sita,,,Damaged
ORD1004,CUST6136,PROD8542,2022-01-06,2023-03-10,,Australia,Walmart,Mary,john@,12345,Other,,Delhi,,Actve,Phone,,Kitchen,,XYZ Corp,-10.0,10707.0,-4.0,Cash,Pending,,157270.0,Returned,5182.0,2,Sita,Bronze,DISC20,Late
ORD1005,CUST6836,PROD7785,2022-11-01,2022-08-19,South,,BestBuy,Fatima,,98765 43210,Mle,86.0,Mumbai,Delhi,Closed,Shoes,Sports,,Sony,ABC Traders,35.0,56764.0,33.0,Card,,406.0,147503.0,,33662.0,2,Alex,,SAVE10,Damaged
ORD1006,CUST9455,PROD2398,2022-10-18,2022-10-07,East,Australia,BestBuy,Amit,amit@yahoo.com,12345,Female,0.0,New York,Tamil Nadu,Inactive,Laptop,Grocery,Furniture,,,68.0,76997.0,22.0,Online,Failed,248.0,24422.0,Returned,22966.0,0,Rahul,Bronze,,Damaged
ORD1007,CUST4176,PROD4748,2023-09-30,2022-11-26,East,,Target,Mary,,,Mle,104.0,Delhi,,Closed,Tablet,Home,Furniture,LG,ABC Traders,,59589.0,,Cash,Pending,91.0,,Returned,8631.0,2,,Bronze,SAVE10,
ORD1008,CUST4370,PROD5058,2023-02-19,2024-01-04,East,,Amazon,John,,,Female,26.0,Mumbai,Delhi,Inactive,Phone,Grocery,Furniture,,,31.0,81560.0,-3.0,Cahs,Failed,985.0,134525.0,Not Returned,40134.0,4,Tom,VIP,,Damaged
ORD1009,CUST9968,PROD538,2023-06-21,2023-12-01,,,Walmart,Amit,mary@gmail.com,12345,Female,69.0,Delhi,California,Closed,,Grocery,Footwear,Sony,,,62535.0,14.0,,Paid,443.0,169930.0,Returned,35381.0,2,,,SAVE10,Damaged
ORD1010,CUST9034,PROD2091,2023-05-22,2023-11-15,West,USA,Flipkart,,mary@gmail.com,9876543210,Other,71.0,Mumbai,,Active,Shoes,Sports,Kitchen,Samsung,ABC Traders,53.0,,4.0,Card,Pending,160.0,119909.0,Not Returned,3243.0,0,,,SAVE10,Delivered
ORD1011,CUST1089,PROD8191,2023-05-24,2023-06-22,East,UK,Flipkart,Fatima,mary@gmail.com,98765 43210,Female,11.0,Chennai,Maharashtra,Actve,Shoes,Electronics,,Samsung,,10.0,29570.0,22.0,,Pending,492.0,58670.0,Returned,755.0,3,,Bronze,DISC20,
